"Tax_HotelID","Tax_HotelName","Tax_HotelAddress","Tax_City"
4915,"CLEARWATER RANCH","FM 1120 1 1/2 M SO OF LEAKEY TX","LEAKEY"
9222,"KUEBLER-WALDRIP HAUS INC/BED & BREAKFAST","1620 HUECO SPRINGS LOOP RD","NEW BRAUNFELS"
10639,"OMNI AUSTIN HOTEL AT SOUTHPARK","4140 GOVERNORS ROW","AUSTIN"
10641,"OMNI CORPUS CHRISTI HOTEL-BAYFRONT TOWER","900 N SHORELINE BLVD","CORPUS CHRISTI"
12693,"SOUTH PADRE BEACH RESORT","100 PADRE BLVD","SOUTH PADRE ISLAND"
13376,"SUPER 8 MOTEL","8888 GULF FWY","HOUSTON"
12826,"SPRINGHILL SUITES","1800 S WARE RD","MCALLEN"
929,"AMERICAS BEST VALUE INN","2709 E BUS HWY 190","KILLEEN"
10879,"PARADISE INN","6301 S PADRE ISLAND DR","CORPUS CHRISTI"
10643,"OMNI DALLAS HOTEL AT PARK WEST","1590 LYNDON B JOHNSON FWY","DALLAS"
11344,"RAMADA INN - HARLINGEN","4401 S EXPRESSWAY 83","HARLINGEN"
1553,"BEACON LODGE INC","3 MIS SE OF FM 3074 ON LAKESHORE DRIVE","ZAPATA"
2532,"CASA LINDA MOTEL","3215 BROADWAY ST","SAN ANTONIO"
6447,"DRIFTWOOD INN","3700 MEMORIAL BLVD","PORT ARTHUR"
11276,"QUALITY SUITES","1701 E SAINT ELMO RD","AUSTIN"
8122,"HOLIDAY INN EXPRESS","501 S P ST","HARLINGEN"
8626,"HOWARD JOHNSON EXPRESS","3702 TEXAS AVE SOUTH","COLLEGE STATION"
13888,"THE OTHER PLACE LLC","385 OTHER PLACE DR","NEW BRAUNFELS"
11852,"ROYAL INN","1807 W COMAL ST","PEARSALL"
7254,"FREDERICKSBURG BED & BREW","245 EAST MAIN STREET","FREDERICKSBURG"
5858,"COURTYARD BY MARRIOTT","2131 S 10TH ST","MCALLEN"
12321,"SEAHORSE UNIT 103","14921 WINDWARD DR APT 103","CORPUS CHRISTI"
